Medicine_Name,Manufacture_Date,Expiry_Date,Batch_No,Supplier,Temperature (°C),Humidity (%),pH_Level,Contaminant_Level (ppm),Active_Ingredient_Purity (%),Inspected_By,Accepted_or_Rejected
Paracetamol,1/15/2023,1/15/2025,PCT-12345,HealthCare Pharma Ltd,25,45,6.5,1.2,99.5,John Smith,Accepted
Ibuprofen,2/10/2023,2/10/2026,IBP-23456,MedSupply Solutions,23,50,7,0.8,98.7,Sarah Johnson,Accepted
Amoxicillin,3/12/2022,3/12/2025,AMX-34567,MedPharma Industries,24,52,6.8,2,97.8,Dr. Emily Clark,Rejected
Cetirizine,4/5/2022,4/5/2024,CTZ-45678,Lifeline Pharmaceuticals,22,48,7.2,0.5,99.1,Michael Lee,Accepted
Metformin,5/20/2023,5/20/2026,MTF-56789,Global Pharma Supplies,26,47,6.4,1,98.9,Dr. Jane Doe,Accepted
Atenolol,6/25/2021,6/25/2024,ATN-67890,HealthLink Pharmaceuticals,24,53,7.5,1.4,99.2,Dr. Sam Brown,Rejected
Amlodipine,7/10/2023,7/10/2025,AML-78901,CareMeds International,23,50,7.1,0.9,98.5,John Doe,Accepted
Omeprazole,8/5/2022,8/5/2025,OMP-89012,PharmaOne Corp,22,49,6,1.3,99,Sarah White,Accepted
Simvastatin,9/1/2022,9/1/2024,SMV-90123,Medico Health Supplies,25,46,6.7,0.7,99.3,Dr. Mike Johnson,Accepted
Aspirin,10/15/2023,10/15/2026,ASP-01234,MedSupply Solutions,24,52,6.9,0.5,98.4,Emily Clarke,Accepted
Diclofenac,11/20/2023,11/20/2025,DCF-02345,Lifeline Pharmaceuticals,26,47,6.3,1.1,99.2,Dr. Sarah Wilson,Accepted
Ciprofloxacin,12/12/2022,12/12/2025,CPF-13456,CareMeds International,22,50,7.2,1.2,98,John Smith,Rejected
Azithromycin,1/30/2023,1/30/2026,AZM-24567,HealthCare Pharma Ltd,23,48,6.5,0.9,98.7,Sarah Johnson,Accepted
Doxycycline,2/14/2021,2/14/2023,DOX-35678,PharmaOne Corp,25,49,7.4,0.6,99.6,Dr. Emily Clark,Accepted
Ranitidine,3/10/2023,3/10/2025,RNT-46789,Global Pharma Supplies,24,45,6.8,1.3,98.9,Dr. Sam Brown,Rejected
Losartan,4/21/2022,4/21/2025,LOS-57890,Medico Health Supplies,23,53,7,0.4,99.4,John Doe,Accepted
Levothyroxine,5/1/2023,5/1/2026,LVT-68901,Lifeline Pharmaceuticals,25,47,7.3,0.8,99,Sarah White,Accepted
Metoprolol,6/15/2023,6/15/2026,MTP-79012,CareMeds International,22,46,6.5,1.5,98.2,Dr. Mike Johnson,Rejected
Clopidogrel,7/20/2021,7/20/2024,CLP-80123,HealthLink Pharmaceuticals,24,49,6.6,1.2,99.1,John Smith,Accepted
Lisinopril,8/10/2022,8/10/2024,LSN-91234,Global Pharma Supplies,23,50,7.1,0.6,98.9,Sarah Johnson,Accepted
Hydrochlorothiazide,9/12/2023,9/12/2025,HCT-02345,MedPharma Industries,25,48,7.2,1,98.7,Dr. Emily Clark,Accepted
Prednisolone,10/11/2022,10/11/2024,PDL-13456,PharmaOne Corp,24,52,6.9,0.5,99.3,John Doe,Accepted
Furosemide,11/2/2023,11/2/2025,FRS-24567,Medico Health Supplies,26,50,6.8,1.1,99,Dr. Sam Brown,Accepted
Alprazolam,12/15/2022,12/15/2024,ALP-35678,HealthCare Pharma Ltd,22,47,7,1,98.8,Sarah White,Rejected
Atorvastatin,1/10/2021,1/10/2024,ATR-46789,Lifeline Pharmaceuticals,24,45,7.1,1.3,98.9,John Smith,Accepted
Fluconazole,2/25/2023,2/25/2026,FLZ-57890,PharmaOne Corp,23,51,7.3,0.9,99.4,Dr. Emily Clark,Accepted
Sildenafil,3/5/2023,3/5/2025,SLD-68901,MedSupply Solutions,24,46,6.4,1.4,99.2,Sarah Johnson,Accepted
Amiodarone,4/15/2022,4/15/2024,AMD-79012,Global Pharma Supplies,25,48,7.2,0.7,99.1,Dr. Mike Johnson,Accepted
Warfarin,5/20/2023,5/20/2025,WRN-80123,HealthLink Pharmaceuticals,23,50,6.5,0.9,99,John Doe,Accepted
Paracetamol,1/15/2023,1/15/2025,PCT-12345,HealthCare Pharma Ltd,25,45,6.5,1.2,99.5,John Smith,Accepted
Ibuprofen,2/10/2023,2/10/2026,IBP-23456,MedSupply Solutions,23,50,7,0.8,98.7,Sarah Johnson,Accepted
Amoxicillin,3/12/2022,3/12/2025,AMX-34567,MedPharma Industries,24,52,6.8,2,97.8,Dr. Emily Clark,Rejected
Cetirizine,4/5/2022,4/5/2024,CTZ-45678,Lifeline Pharmaceuticals,22,48,7.2,0.5,99.1,Michael Lee,Accepted
Metformin,5/20/2023,5/20/2026,MTF-56789,Global Pharma Supplies,26,47,6.4,1,98.9,Dr. Jane Doe,Accepted
Atenolol,6/25/2021,6/25/2024,ATN-67890,HealthLink Pharmaceuticals,24,53,7.5,1.4,99.2,Dr. Sam Brown,Rejected
Amlodipine,7/10/2023,7/10/2025,AML-78901,CareMeds International,23,50,7.1,0.9,98.5,John Doe,Accepted
Omeprazole,8/5/2022,8/5/2025,OMP-89012,PharmaOne Corp,22,49,6,1.3,99,Sarah White,Accepted
Simvastatin,9/1/2022,9/1/2024,SMV-90123,Medico Health Supplies,25,46,6.7,0.7,99.3,Dr. Mike Johnson,Accepted
Aspirin,10/15/2023,10/15/2026,ASP-01234,MedSupply Solutions,24,52,6.9,0.5,98.4,Emily Clarke,Accepted
Diclofenac,11/20/2023,11/20/2025,DCF-02345,Lifeline Pharmaceuticals,26,47,6.3,1.1,99.2,Dr. Sarah Wilson,Accepted
Ciprofloxacin,12/12/2022,12/12/2025,CPF-13456,CareMeds International,22,50,7.2,1.2,98,John Smith,Rejected
Azithromycin,1/30/2023,1/30/2026,AZM-24567,HealthCare Pharma Ltd,23,48,6.5,0.9,98.7,Sarah Johnson,Accepted
Doxycycline,2/14/2021,2/14/2023,DOX-35678,PharmaOne Corp,25,49,7.4,0.6,99.6,Dr. Emily Clark,Accepted
Ranitidine,3/10/2023,3/10/2025,RNT-46789,Global Pharma Supplies,24,45,6.8,1.3,98.9,Dr. Sam Brown,Rejected
Losartan,4/21/2022,4/21/2025,LOS-57890,Medico Health Supplies,23,53,7,0.4,99.4,John Doe,Accepted
Levothyroxine,5/1/2023,5/1/2026,LVT-68901,Lifeline Pharmaceuticals,25,47,7.3,0.8,99,Sarah White,Accepted
Metoprolol,6/15/2023,6/15/2026,MTP-79012,CareMeds International,22,46,6.5,1.5,98.2,Dr. Mike Johnson,Rejected
Clopidogrel,7/20/2021,7/20/2024,CLP-80123,HealthLink Pharmaceuticals,24,49,6.6,1.2,99.1,John Smith,Accepted
Lisinopril,8/10/2022,8/10/2024,LSN-91234,Global Pharma Supplies,23,50,7.1,0.6,98.9,Sarah Johnson,Accepted
